team1,score1,score2,team2,players,date
Auscorp,106,115,OntarioDynasty,10,2022/08/13
Blood Brigade,89,152,Bloodtide,15,2022/08/13
StarControl,86,60,Star Fall,5,2022/08/13
Dumpster Fire,52,14,INFINITY STAR,15,2022/08/13
DTC,129,4,Path of Hades,15,2022/08/12
the heavy,77,10,Ahamkara,5,2022/08/12
Team Elite,95,7,Serenity,10,2022/08/12
Embers Rising,112,67,Duchy Arrakis,15,2022/08/11
Lexx,13,4,Avabel Online 2,10,2022/08/09
Metal Nova,69,7,(_(_Vossk_)_),10,2022/08/09
Lexx,30,8,NOVA,5,2022/08/08
Anla'Shok,108,6,Trade Station,15,2022/08/08
Red Dawn,36,5,UNSC,5,2022/08/08
Spacefleet,168,46,Internationals,15,2022/08/07
DTC,240,16,VoidCorp,15,2022/08/07
Imperium XIII,113,32,Enigma,5,2022/08/07
StarControl,62,43,OntarioDynasty,5,2022/08/07
Kharon Shipping,14,120,Stalkers' Zone,5,2022/08/06
Nearland Ind,325,0,星舰地球,15,2022/08/06
Blood Brigade,123,1,TPYNRNR,15,2022/08/06
Team Elite,108,38,Polish Pirates,10,2022/08/05
Embers Rising,96,49,Vendetta Squad,10,2022/08/04
Metal Nova,28,26,Lacuna Holdings,5,2022/08/03
UKR Spase,48,5,First Squad,5,2022/08/03
Anla'Shok,38,177,Continuum,15,2022/08/03
Lexx,28,52,Proteus Tech,15,2022/08/02
Dumpster Fire,23,7,THE FOUNDATION,15,2022/08/02
Blood Brigade,127,1,Dauntless,15,2022/07/31
Legion,272,107,StarControl,10,2022/07/31
Hinterm Mond,114,35,OntarioDynasty,5,2022/07/31
Karanth,50,105,Auscorp,5,2022/07/30
DTC,52,19,Red Coat Mafia,5,2022/07/30
DTC,43,202,Grunthal Gang,15,2022/07/30
Team Elite,117,40,Starsailors,5,2022/07/30
$TAR$,188,31,Special Force,15,2022/07/30
UKR Spase,44,85,Wintercomes,10,2022/07/30
Red Dawn,25,9,Corp. Estelar 2,5,2022/07/30
Kharon Shipping,53,20,The X-Files,5,2022/07/30
Spacefleet,96,20,First Squad,10,2022/07/29
Dumpster Fire,64,2,深空补给港,15,2022/07/28
Embers Rising,49,57,無盡 宿命,10,2022/07/28
Anla'Shok,363,0,Madison Holding,15,2022/07/28
Lexx,21,31,Obsidian,15,2022/07/27
Wintercomes,157,7,Cnythnk,10,2022/07/25
Team Elite,52,3,Trade Station,10,2022/07/25
Hinterm Mond,146,12,Shadow Lords,5,2022/07/25
Red Dawn,32,9,Hawa Bcenehhar,10,2022/07/25
Auscorp,194,34,Starsailors,5,2022/07/24
Dropbears Inc,13,32,Sol,5,2022/07/24
Space Donuts,68,17,Rocket-Babies,10,2022/07/24
StarControl,153,51,The Time Lords,10,2022/07/24
Anla'Shok,160,0,ITA,15,2022/07/24
Blood Brigade,126,26,Tormenta,15,2022/07/24
OntarioDynasty,51,108,DadCorp,10,2022/07/23
DTC,46,8,Gallaecia,5,2022/07/23
Nearland Ind,232,39,Любители Пива,15,2022/07/23
Legion,103,19,Russian Team,15,2022/07/23
Kharon Shipping,52,0,Star Dust,5,2022/07/23
DTC,196,101,Black Sun,15,2022/07/22
the heavy,75,38,Polaris,5,2022/07/22
Nearland Ind,215,46,The Seperatists,15,2022/07/22
Dumpster Fire,27,159,地球朕合,15,2022/07/22
Lexx,79,8,꿀벌 왕국,10,2022/07/21
Lexx,6,7,听风秋月,10,2022/07/21
Spacefleet,39,5,Spectre,5,2022/07/20
Dropbears Inc,40,20,Kpanhnn Kocmoc,10,2022/07/20
Team Elite,102,17,Weyland Corp,10,2022/07/18
Imperium XIII,79,19,Гaлaктикa Элa,5,2022/07/17
Anla'Shok,122,40,Internationals,15,2022/07/17
Metal Nova,71,13,Industrial W.O,10,2022/07/17
Hinterm Mond,160,1,The Time Lords,5,2022/07/17
Dumpster Fire,95,0,kdy,15,2022/07/17
Embers Rising,27,108,혁명군,10,2022/07/17
StarControl,150,110,DadCorp,10,2022/07/17
Kharon Shipping,329,60,Trade Station,15,2022/07/17
Nearland Ind,207,20,Starsailors,15,2022/07/17
YAL,158,58,LossFarm No. 648,15,2022/07/16
OntarioDynasty,57,40,Hydra,5,2022/07/16
Dropbears Inc,25,13,Three Rivers,5,2022/07/16
Space Donuts,53,89,KARI,10,2022/07/16
DTC,209,40,LOST PIRATES,15,2022/07/16
$TAR$,134,78,Любители Пива,10,2022/07/16
Blood Brigade,74,73,Bloodtide,15,2022/07/16
Ark Summit,162,15,Covenant,15,2022/07/16
Ark Summit,284,2,Daemon Runners,15,2022/07/14
Lexx,14,0,AHДPOMEДA,15,2022/07/14
Lexx,15,8,銀河戦狼,5,2022/07/14
Anla'Shok,191,12,Continuum,15,2022/07/13
Team Elite,157,42,Dark Skai,10,2022/07/13
Spacefleet,13,37,Red Coat Mafia,5,2022/07/12
Wintercomes,122,2,GermanSpaceUno.,10,2022/07/11
the heavy,107,13,Void Dominion,5,2022/07/11
Dropbears Inc,76,79,Terranova,10,2022/07/10
Red Dawn,45,5,The Gathering,5,2022/07/10
the heavy,17,136,111,5,2022/07/10
Metal Nova,73,6,FAIR,10,2022/07/10
Hinterm Mond,130,41,Final,10,2022/07/10
Nearland Ind,212,26,TPYNRNR,15,2022/07/09
Blood Brigade,202,6,Death Flight,15,2022/07/09
OntarioDynasty,41,32,Topговая Федерация,5,2022/07/09
Space Donuts,10,45,Star Dust,5,2022/07/09
$TAR$,22,215,Aobpothbie Nioan,10,2022/07/09
Lexx,23,1,水星联合织,15,2022/07/08
DTC,173,34,Covenant,15,2022/07/08
Team Elite,159,11,Lacuna Ind.,10,2022/07/07
Anla'Shok,116,118,Stargate Corp,15,2022/07/07
Dumpster Fire,7,42,Path of Hades,15,2022/07/06
Dark Skai,169,29,The Picard,10,2022/07/06
Spacefleet,111,21,Españoles,15,2022/07/04
Red Dawn,26,2,CCCP 2.0,5,2022/07/04
StarControl,228,45,The Star League,10,2022/07/04
Rabid Butterfly,56,158,Hinterm Mond,5,2022/07/03
Lexx,36,12,SveaEmpire,10,2022/07/03
UKR Spase,64,100,OntarioDistrict,10,2022/07/03
Polaris,34,52,Imperium XIII,5,2022/07/03
Blood Brigade,150,1,WFOS,15,2022/07/03
DTC,209,151,Providence,15,2022/07/03
Auscorp,152,51,Hydra,10,2022/07/02
Anla'Shok,198,23,MAQUIS,15,2022/07/02
Nearland Ind,205,45,Lights Off,15,2022/07/02
Space Donuts,70,36,Polish Pirates,10,2022/07/02
$TAR$,128,35,The X-Files,10,2022/07/02
Team Elite,71,99,Tacitus,10,2022/07/01
Grunthal Gang,404,1,First Squad,15,2022/07/01
Dumpster Fire,33,5,(_(_Vossk_)_),15,2022/07/01
Metal Nova,58,41,Federation,10,2022/06/30
Anla'Shok,91,37,Spacefleet,15,2022/06/27
Blood Brigade,16,44,Aggronauten,10,2022/06/27
DTC,202,26,Death Flight,15,2022/06/26
Lexx,26,8,Killer Shadow,5,2022/06/26
Lexx,13,2,RATAS,10,2022/06/26
Dumpster Fire,28,5,PACCBET,15,2022/06/26
Imperium XIII,68,3,The Asylum,5,2022/06/26
Team Elite,26,0,Elite,5,2022/06/25
$TAR$,65,42,Dropbears Inc,10,2022/06/25
Red Dawn,74,0,Sprite,10,2022/06/22
Ark Summit,237,25,Pandora's Star,15,2022/06/22
Embers Rising,160,22,LOST PIRATES,15,2022/06/22
Anla'Shok,41,134,Yishun CC,15,2022/06/22
Spacefleet,131,1,Lacuna Ind.,15,2022/06/21
OntarioDynasty,55,3,JTPS,5,2022/06/20
