rank,corporation,rating,delta
  1,Legion          ,1634,-39
  2,Hinterm Mond    ,1627,0
  3,StarControl     ,1617,9
  4,BlackStar Order ,1546,-41
  5,Kharon Shipping ,1518,-33
  6,Auscorp         ,1461,1
~  ,System Shock    ,1446,-29
  7,Karanth         ,1381,-7
  8,Unimatrix Zero  ,1361,13
  9,DadCorp         ,1358,27
 10,Spacecrevards   ,1358,-24
 11,Yishun CC       ,1311,29
 12,OntarioDynasty  ,1294,-10
 13,DUNE            ,1292,-13
~  ,RUS             ,1292,-21
 14,Anla'Shok       ,1282,-44
 15,Ender           ,1249,-44
 16,ГОРИЗОНТ        ,1242,-18
~  ,Hades Corpo     ,1238,-18
 17,Ark Summit      ,1230,18
~  ,Final           ,1225,0
 18,The Time Lords  ,1212,-5
~  ,InfamousExiles  ,1199,-16
 19,Team Elite      ,1196,1
 20,Nearland Ind    ,1182,-16
 21,Imperium XIII   ,1170,0
 22,Embers Rising   ,1153,36
 23,Watchers        ,1146,-13
 24,HORNET          ,1146,-58
 25,EradicatorElite ,1145,-13
 26,Black Solaris   ,1141,12
 27,Tacitus         ,1128,22
~  ,NERF            ,1123,-12
 28,Sith Empire     ,1112,-11
~  ,Canadian Army   ,1110,-11
 29,Dark Skai       ,1109,-11
 30,Wintercomes     ,1090,-10
~  ,EMP             ,1089,-10
 31,Spacefleet      ,1087,20
 32,Lexx            ,1086,-1
 33,Greener Pastures,1080,28
 34,$TAR$           ,1080,8
 35,Grunthal Gang   ,1079,45
~  ,Kyлak           ,1074,-9
 36,Star Fall       ,1068,71
 37,Weyland Corp    ,1056,20
 38,Terranova       ,1054,16
 39,Void Consortium ,1051,61
 40,Orion           ,1047,-8
~  ,NOVA            ,1047,-8
~  ,BRhue           ,1047,-8
 41,GermanIndustrie ,1046,-5
 42,Metal Nova      ,1044,10
 43,DTC             ,1036,12
 44,Internationals  ,1033,-8
 45,Famous Assassins,1031,0
~  ,Continuum       ,1030,39
 46,Blood Brigade   ,1027,155
~  ,Wacky Wabbits   ,1027,0
 47,H3LL FLAY3RS    ,1025,0
~  ,Order of Hades  ,1024,0
~  ,Rise Up         ,1023,0
 48,Furyan Corps.   ,1017,-9
 49,Bastion         ,1016,4
~  ,Salamanders     ,1014,0
 50,UKR Spase       ,1012,-25
~  ,Polaris         ,1011,-5
~  ,Stellar Exports ,1007,0
~  ,Urban Legends   ,1006,0
~  ,nebulous        ,1005,0
~  ,Ancient Library ,1004,0
 51,Black Sun       ,1004,-16
~  ,42-Omatic Corp  ,1002,0
~  ,Star-Jump CORPS ,1001,0
~  ,For Ever HWI    ,1001,0
~  ,Stargate Corp   ,1001,45
~  ,Red Coat Mafia  ,998,0
~  ,Tormenta        ,998,-23
 52,Red Dawn        ,998,83
~  ,Because Why Not ,995,0
~  ,USSC            ,995,0
~  ,Toxic           ,995,0
~  ,TiesaFoundation ,995,0
~  ,Russian Team    ,994,0
~  ,Grummibarenbande,994,0
~  ,Les Francaises  ,993,0
~  ,DISS LIGA       ,993,0
~  ,kumzumir        ,992,0
 53,Elite           ,992,-4
 54,Widow Makers    ,991,0
 55,Bounty Hunters  ,991,-63
~  ,龙门星团            ,989,0
~  ,Vendetta Squad  ,989,0
~  ,我有大氣球           ,989,0
~  ,Delta Strike    ,988,0
~  ,Prosperity      ,988,0
~  ,龙门训练营           ,988,0
~  ,E.T.A          ,985,-10
~  ,Saltarrocas    ,983,0
~  ,POCCNR         ,983,-1
~  ,TheSpacingGuild,982,0
~  ,Rogue Hero's   ,981,0
~  ,Omega Alpha    ,981,0
~  ,Titan Corp.    ,979,0
 56,USSR            ,977,0
~  ,UAGC            ,975,0
~  ,The Black Bulls ,975,0
~  ,Avabel Online   ,974,0
~  ,Phoenix Rising  ,974,0
~  ,MAPCIOKN        ,974,-11
~  ,Argentina 1.0   ,972,0
~  ,Dropbears Inc   ,972,0
 57,ANBEPCAHTbl     ,972,16
~  ,battlesquadron  ,971,0
~  ,Sternenflotte   ,971,0
~  ,Space Penguins  ,970,0
~  ,M4-Legends      ,969,0
 58,Austria         ,969,0
~  ,Soylent Corp.   ,967,0
~  ,Imperial Armada ,967,0
 59,JTPS            ,966,-2
~  ,AMБPEЛЛA        ,966,0
~  ,Sternenwanderer ,965,0
~  ,The First Order ,965,0
~  ,Society of Sin  ,961,-10
~  ,The BR Project  ,961,0
 60,TPYNRNR         ,961,-12
~  ,Paиoн No 9      ,958,0
~  ,ZEN             ,958,0
 61,Trade Station   ,956,0
~  ,#VALUE!,956,0
~  ,Españoles       ,955,-18
 62,Farland Ind.    ,954,0
 63,The Asylum      ,954,-4
~  ,Avengers        ,954,0
~  ,Ahamkara        ,952,-7
~  ,H香港K            ,950,0
~  ,Old Men Gaming  ,950,0
 64,Rocket-by Baby  ,948,0
~  ,Балтийский флот ,948,0
~  ,Trade Systems   ,948,0
~  ,Titan Basecamp  ,948,0
~  ,Dansk           ,948,0
~  ,Collective      ,948,0
~  ,Elite Penguins  ,948,0
 65,Space Donuts    ,947,0
~  ,Cool Casual     ,947,0
 66,Corporation     ,946,24
~  ,LossFarm No. 648,945,0
 67,the heavy       ,945,-12
~  ,Avantgarde      ,945,0
~  ,Obsidian        ,945,0
~  ,龙冂训练营           ,943,0
~  ,Domus           ,943,0
~  ,Quilliance      ,943,0
~  ,Tёmный Bиxpь    ,943,0
~  ,Enigma          ,942,0
~  ,AlSounT         ,942,0
~  ,Guardians       ,942,0
~  ,BKC             ,942,0
 68,pirates spatial ,941,0
 69,Gulinga         ,940,0
~  ,Midland Ind.    ,939,0
~  ,Space Oddity    ,937,0
~  ,Octoberpierynm  ,937,0
~  ,Aus Alliance    ,935,0
 70,星呢月球            ,934,0
~  ,CnGR            ,933,0
~  ,Гaлaктикa Элa   ,933,0
~  ,The Goonies     ,933,0
~  ,Space bastards  ,933,0
~  ,Star Command    ,932,0
~  ,Gamekings       ,932,0
~  ,Galaxia         ,932,0
~  ,Lost Legion     ,931,0
 71,LOST PIRATES    ,930,-26
~  ,The Star League ,930,-1
~  ,Aggronauten     ,930,22
~  ,OntarioDominion ,929,0
 72,Tartaros Armada ,929,22
~  ,Int. Trading Co ,928,0
~  ,Best            ,927,0
~  ,Delta Nation    ,925,0
~  ,Corvus Ind.     ,925,0
~  ,HИФИГACEБ       ,925,0
~  ,Interstellar    ,925,0
~  ,Farmville       ,925,0
~  ,Star Wars       ,924,0
~  ,Core Infliction ,923,0
~  ,AlfaOmega       ,923,0
~  ,Galactic Force  ,923,0
~  ,Kpanhnn Kocmoc  ,923,0
~  ,帝国军事学院          ,923,0
~  ,Fomorians Eire  ,922,0
~  ,kdy             ,922,0
~  ,EZCO            ,922,0
~  ,VALLKIRIA       ,920,0
~  ,Ritter der Nuss ,920,0
~  ,VoidCorp        ,920,-4
~  ,DarkMoon        ,919,0
~  ,Steak n' Shake  ,918,0
 73,海賊ギルド           ,918,-12
~  ,Ironbear Legion ,918,0
~  ,STAR TERROR CZ  ,917,0
~  ,Corp. Estelar   ,917,0
 74,Rising star     ,916,-30
~  ,T E H b         ,916,0
~  ,DegobaSystem    ,916,0
~  ,Gwiezdna Horda  ,916,0
~  ,Kobol           ,915,0
~  ,Hamburg AG 2    ,915,-12
~  ,KLM             ,914,0
~  ,Sky Walkers     ,914,0
~  ,Justice League  ,914,0
~  ,EGO             ,914,0
~  ,Defiant wolfs   ,913,0
~  ,Nmnepnr         ,913,0
 75,ENFORCERS       ,913,0
~  ,Pandora's Star  ,913,-7
~  ,Deutsch Staat D ,913,0
~  ,Nooooobs        ,912,-3
~  ,Anke none       ,912,0
~  ,ShalaskanEmpire ,911,0
~  ,Italian Stars   ,911,0
~  ,NoweUkladyll    ,911,0
~  ,Stalkers' Zone  ,911,0
 76,Polish Pirates  ,911,-11
 77,G.M.U.          ,911,0
~  ,Star Dust       ,910,0
~  ,GalaxHitchikers ,910,0
~  ,XenoCorp        ,909,0
~  ,Battle Academy  ,908,0
~  ,SYNDICATE       ,907,0
~  ,Diplomats Union ,907,0
~  ,The Fracture    ,905,0
~  ,Anarchy         ,904,0
~  ,exirium         ,903,0
~  ,The trade pub   ,903,0
~  ,Turk Yildizlari ,903,-9
~  ,White Solaris   ,903,0
~  ,Abanoh          ,902,0
~  ,BattleCo        ,901,0
~  ,Flight and War  ,900,0
~  ,Green Alliance  ,900,0
~  ,Legion Estelar  ,900,0
~  ,KOPNOPAUNR 3NA  ,900,0
~  ,Yellow Dwarf    ,900,0
~  ,星䂓地㺷            ,900,0
 78,WFOS            ,900,-73
~  ,Españoles 2     ,900,0
~  ,W.O.A           ,900,0
