rank,corporation,rating,delta
  1,Legion            ,1662,0
  2,StarControl       ,1634,-5
  3,Hinterm Mond      ,1575,-4
  4,BlackStar Order   ,1421,-10
  5,Kharon Shipping   ,1405,-35
  6,Auscorp           ,1388,-17
  7,DadCorp           ,1356,-6
  8,Karanth Corp.     ,1341,11
  9,OntarioDynasty    ,1320,22
~  ,System Shock      ,1303,-29
~  ,Unimatrix Zero    ,1294,30
 10,Best              ,1286,25
 11,RUS               ,1269,2
 12,Ender             ,1253,-22
~  ,DUNE              ,1250,-26
 13,Yishun CC         ,1248,-6
~  ,Spacecrevards     ,1237,-25
 14,Ark Summit        ,1237,14
 15,Grunthal Gang     ,1236,3
~  ,ГОРИЗОНТ          ,1169,-1
~  ,Final             ,1163,-21
 16,Alpaca Haven      ,1158,74
 17,Sith Empire       ,1151,33
~  ,Hades Corpo       ,1147,-20
 18,Internationals    ,1145,146
 19,Anla'Shok         ,1144,-64
 20,Imperium XIII     ,1137,-19
~  ,The Time Lords    ,1128,-19
 21,Nearland Ind      ,1122,-18
~  ,InfamousExiles    ,1119,-18
 22,Team Elite        ,1112,-18
 23,Tacitus           ,1103,-1
 24,pycb              ,1098,112
 25,Wintercomes       ,1098,-17
~  ,Canadian Army     ,1095,-17
 26,Dacia             ,1090,240
 27,Spacefleet        ,1083,16
~  ,Dark Skai         ,1081,-16
~  ,HORNET            ,1078,-16
 28,Terranova         ,1077,-16
~  ,Black Solaris     ,1075,-16
 29,EradicatorElite   ,1075,-16
 30,Stargate Corp     ,1064,24
~  ,NERF              ,1062,-15
 31,Embers Rising     ,1055,-15
 32,Orion             ,1051,-14
~  ,Weyland Corp      ,1047,-14
 33,Widow Makers      ,1045,-14
~  ,ItBurnsWhenIEMP   ,1044,-14
 34,The Watchers      ,1043,-53
 35,GermanIndustrie   ,1042,-14
 36,Blood Brigade     ,1038,-41
~  ,Star Fall         ,1032,-1
~  ,Greener Pastures  ,1030,-13
 37,Wacky Wabbits     ,1028,-13
 38,Continuum         ,1027,26
 39,Red Dawn          ,1026,2
~  ,Kyлak             ,1024,-13
 40,Bounty Hunters    ,1017,3
~  ,NOVA              ,1011,-12
~  ,Void Consortium   ,1007,-12
 41,РОССИЯ            ,1007,27
~  ,Ancient Library   ,1006,-12
~  ,BRhue             ,1005,-12
 42,The Star League   ,1003,29
~  ,Tormenta          ,1002,-12
~  ,Famous Assassins  ,998,-11
 43,Austria           ,998,15
 44,Tartaros Armada   ,994,0
~  ,Order of Hades    ,994,-11
~  ,Elite             ,994,8
~  ,Rise Up           ,993,-11
 45,Furyan Corps.     ,991,-11
~  ,Salamanders       ,991,-11
 46,H3LL FLAY3RS      ,989,-11
~  ,Prosperity        ,989,-11
~  ,UKR Spase         ,989,-11
~  ,Polaris           ,988,-11
~  ,Bastion           ,987,-11
~  ,Stellar Exports   ,985,-11
~  ,Urban Legends     ,984,-11
~  ,42-Omatic Corp    ,983,-11
~  ,For Ever HWI      ,983,-11
 47,Space Donuts      ,982,36
~  ,Titan Corp.       ,980,-10
~  ,Red_Coat_Mafia    ,980,-10
 48,DTC               ,980,15
~  ,Because Why Not   ,979,-10
~  ,USSC              ,979,-10
~  ,Toxic             ,979,-10
~  ,TiesaFoundation   ,978,-10
~  ,Russian Team      ,978,-10
~  ,Grummibarenbande  ,977,-10
~  ,Les Francaises    ,977,-10
~  ,nebulous          ,977,-12
~  ,DISS LIGA         ,976,-10
~  ,ANBEPCAHTbl       ,976,-10
